# Etapa 4 contestada a ciegas, 19/08/2026. Es una medición, no un mapeo para usar.
#
# Los 99 mensajes de los que se sabe el nombre, preguntados uno a uno con su propia ancla tapada
# —en el expediente y en los ejemplos, sólo la suya— y contestados sin mirar docs/opcodes.md ni la
# tabla de anclas. Comprobado en las transcripciones de los tres barridos: nadie abrió esos
# ficheros.
#
# Tres barridos, y lo que los separa importa:
#
#   1 y 2   con el índice que atribuía mensajes a clases que no los tocan (direcciones plegadas
#           por IL2CPP, ver CodeIndex.Resolve). 11 de 30 los dos.
#   3       con el índice corregido, que es el de este repo. 14 de 31.
#
# Este fichero guarda el TERCERO. Repartido por la confianza que declara el propio modelo:
#   segura     4 de  4   (100 %)
#   probable   3 de  6
#   posible    7 de 21
#
# Lo que se sostiene en los tres: «segura» no falla nunca, «posible» acierta uno de cada cuatro, y
# dos terceras partes se callan —siempre ante los mismos mensajes: 63 de los 69 silencios de los
# barridos 1 y 2 coinciden—.
#
# El listón para dar algo por acertado es las MISMAS palabras, ni una más: se perdona el orden, los
# plurales y el «Message» del final. Con listones más flojos salía 56,7 %, 43,3 % y 40,0 %,
# contando como aciertos AppearanceSlotSetRequest frente a AppearanceSlotSetResult, TitleSelect
# frente a TitleSelectRequest, y AuthenticationTicket frente a AuthenticationTicketAccepted.
#
# columnas: opcode	nombre	confianza	en qué se basa
kqo		ninguna	La unica clase, ekw (ShowDelay, StopLatencyTimer), toca 4 mensajes y apunta a latencia o pantalla de carga, pero un repeated bool mas un bool no encaja ni con ping/pong ni con las estadisticas de latencia; los 25 mensajes que se manejan al lado son un despacho grande (hgj, hgn, hhh, ...) y no acotan nada.
kqq		ninguna	Un unico campo repeated int32, sin clases del cliente ni trafico; valdria igual para una lista de opciones de servidor, de ids de mapa o de cualquier otra coleccion de enteros.
kqr		ninguna	Solo la forma (dos strings, un mapa de clave booleana y un bool); sin clases ni trafico, y un mapa con clave bool huele a reconstruccion aproximada, asi que ni la forma es fiable.
kqu		ninguna	Solo la forma: dos listas paralelas, una de int32 y otra de bool; sin clases del cliente ni trafico no hay nada que lo ate a ningun concepto de Dofus.
kqy		ninguna	Cae justo antes de kqz (AuthenticationTicketMessage) y kra (AuthenticationTicketAcceptedMessage), o sea en el bloque de conexion, y su forma {bool, string, submensaje vacio} recuerda a un estado de ticket, pero la clase ekw (ShowDelay, StopLatencyTimer) toca 4 mensajes y no dice cual es; hay varios candidatos de ese bloque con bool+string y ninguno se impone.
kqz	PopupWarningMessage	posible	Esta en el bloque kq*, que en esta version es todo basico de conexion (kqg ContactsList, kqo BasicPing, kqr LogoutResult, kqu ServerOptionalFeatures), y la forma int32+string+string calca a PopupWarningMessage (lockDuration, author, content); sin clase que lo confirme, encajarian tambien otros avisos de sistema.
kra		ninguna	Mensaje vacio, sin ninguna clase identificada; lo unico que hay es que se maneja junto a kvc, que tampoco esta resuelto, asi que no hay por donde cogerlo.
kti	ChatServerMessage	posible	Comparte la estructura de contenido ktp y el enumerado ksz con ktm (a quien tocan hbp/ParsedMapInfo, tipico del parseo de enlaces de mapa del chat, y hba/FlushCachedMessage, el vaciado de mensajes en cache), y anade justo lo que solo lleva la version del servidor: dos int64 (id de personaje y de cuenta), tres o cuatro cadenas (huella, nombre, prefijo) y un int32 de marca de tiempo; la unica clase propia, hbr, solo aporta InfoMetadata, que tambien encajaria con un mensaje de aviso.
ktm	ChatClientMultiMessage	posible	Misma estructura de contenido ktp y mismo enumerado ksz (canal) que kti pero sin ningun dato de emisor, o sea la direccion cliente->servidor; las clases que lo tocan, hbp (ParsedMapInfo) y hba (FlushCachedMessage), son de texto con enlaces y de cache de mensajes; flc (DisplayFightPreview), que toca solo a este, no encaja con el chat y es lo que me impide subir la confianza.
kub		ninguna	Solo tengo la forma: dos copias del mismo struct ldn, sin clases del cliente ni mensajes vecinos que digan de que par de cosas se trata.
kuh		ninguna	Mensaje vacio, sin clases y sin vecinos: el expediente no aporta absolutamente nada.
kum		ninguna	Seis int32 y nada mas; la lista de vecinos (hgj...ili) es identica a la de kqz y ktm, o sea un registro compartido que no distingue a ninguno de los tres.
kva	CharacterSelectedSuccessMessage	posible	El bloque kv* es todo eleccion de personaje (kvi CharactersList, kvw CharacterSelection, kvl CharacterFirstSelection, kvz CharacterCreationRequest) y la clase ecv que lo toca contiene StartGame; la forma es un resultado de dos variantes, una con carga (kuy{lpg}, el personaje) y otra vacia (kux), justo lo que se espera como respuesta a kvw/kvl.
kvb		ninguna	Tres enumerados (uno kuu y dos kuv) y una clase fyw que solo delata Toggle y m_canTakeFocus, es decir un control de interfaz sin dominio: no senala ni combate, ni ajustes, ni personaje.
kvd	CharacterCanBeCreatedRequestMessage	posible	Vacio y del bloque kv* (eleccion de personaje), y se maneja junto a un unico mensaje, kwb, lo que huele a peticion vacia con su respuesta; no puede ser la peticion de nombre sugerido porque esa emparejaria con kvk (CharacterNameSuggestionSuccessMessage), pero aun quedan dos o tres peticiones vacias que encajarian igual.
kvi	CharactersListMessage	segura	kvd ya resuelto es CharactersListEndMessage y va vacio justo detras de kvi, luego kvi es la lista misma; ademas fpm toca solo a este y contiene DisplayCharacterCreation, EnableCharacterSelectionWhenUnlocked y RemoveLoadingAfterLoading, que es exactamente lo que hace el cliente al recibir la lista (si viene vacia, abrir creacion); la forma es repetida y cada entrada lleva id int64 mas la ficha lpj.
kvk	CharacterNameSuggestionSuccessMessage	posible	Sin clases ni vecinos en el expediente: lo unico solido es que el bloque kv* es el de eleccion de personaje (kva CharacterSelectedSuccess, kvb CharacterCreationResult, kvd CharactersListEnd, kvi lista, kvl primera seleccion, kvw seleccion) y kvk es un unico string suelto ahi dentro; la sugerencia de nombre encaja, pero encajarian igual un NicknameChoiceRequestMessage o cualquier otro mensaje de un solo texto de esa zona.
kvl	CharacterFirstSelectionMessage	segura	El expediente de kvw lo nombra literalmente: "kvh, kvl (CharacterFirstSelectionMessage), kvy"; la forma lo confirma, es la seleccion (int64 id en f2) con el bool anadido del tutorial en f1, y el propio kvl lista al lado a kvw (CharacterSelectionMessage).
kvw	CharacterSelectionMessage	segura	El expediente de kvl lo nombra literalmente: "kvw (CharacterSelectionMessage)"; encaja con la forma, un unico int64 que es el id del personaje elegido, y la clase que lo toca es ecv (StartGame).
kvz		ninguna	Solo se sabe que envuelve una unica lpj, la misma estructura que ocupa el campo 3 de cada entrada de la lista kvi (nombre, nivel, colores, look, enum de raza o sexo), pero no hay ninguna clase del cliente ni contexto que diga en que momento llega un personaje suelto; CharacterSelectedSuccessMessage ya esta ocupado por kva.
lqc		ninguna	La unica clase es gjy, que toca a 2 mensajes y solo deja ver ChannelActive (fontaneria de conexion), y la forma es un int32 mas un int64 sin nada que los ate a ningun concepto; el vecino lqg tampoco esta resuelto.
lqu		ninguna	elc toca solo a este y filtra TimeSpanExtended y DurationInfos, asi que se puede afirmar que uno de los campos (probablemente el int64 f2) se lee como fecha o duracion, pero nada dice de que duracion se trata: suscripcion, sancion, reenganche, enfriamiento... quedan demasiadas opciones abiertas.
lva		ninguna	El expediente no trae mas que "repeated int32 f1": ni clases del cliente, ni mensajes al lado, ni trafico medido.
lwm		ninguna	El expediente no trae mas que dos int32 y un bool: ni clases del cliente, ni mensajes al lado, ni trafico medido.
lwx		ninguna	Un solo bool y la unica clase que lo toca, eqq, alcanza a 76 mensajes (PresetListEventWhenCharacterInfo, RefreshTagsWhenContentReceived), de modo que no distingue a este de los otros 75.
lwz	AppearanceItemVisibilityResultMessage	posible	Comparte el enumerado lwh con lxg, el mensaje que CosmeticUi::ToggleItemVisibility construye para ocultar o mostrar capa, sombrero, montura, mascota y escudo; su forma (bool, lwh, bool) es la de un acuse de la misma familia que lyj AppearanceSlotSetResultMessage y lwx AppearanceAuraResultMessage, pero el sufijo podria ser Message o UpdateMessage en vez de ResultMessage
lxa		ninguna	Dos bool sueltos y ninguna clase propia lo toca: solo eqq, que toca a 76 mensajes y no distingue a ninguno
lxc		ninguna	Solo tengo la forma (un string y dos structs lhg identicos, que podrian ser looks pero cuyos campos lhe y lcm son desconocidos) y la unica clase que lo toca es eqq con sus 76 mensajes
lxg	AppearanceItemVisibilityRequestMessage	posible	Core.UILogic.Inventory.Uis.PlayerInventory.CosmeticUi::ToggleItemVisibility usa el tipo a 0 saltos y a 1 salto cuelgan OnCapeVisibilityToggle, OnHatVisibilityToggle, OnMountVisibilityToggle, OnPetVisibilityToggle y OnShieldVisibilityToggle, asi que es la peticion de ocultar o mostrar una pieza cosmetica (enum de hueco mas bool); el prefijo Appearance lo dan sus vecinos ya resueltos lys AppearanceItemWearRequestMessage y lyj AppearanceSlotSetResultMessage, pero encajarian igual AppearanceVisibilitySetRequestMessage o CosmeticVisibilityRequestMessage
lxh		ninguna	El expediente no lista ninguna clase que lo toque y un repeated int32 con un enumerado lwi encaja con demasiadas cosas
lxk		ninguna	bool mas enumerado es la forma generica de exito mas motivo, y la unica clase que lo toca es eqq (76 mensajes)
lxo		ninguna	bool, enumerado lxm y bool, tocado solo por eqq (76 mensajes); su unico vecino de manejo, lza, tampoco esta identificado
lxs	AppearanceSaveRequestMessage	probable	Core.UILogic.Inventory.Uis.PlayerInventory.CosmeticUi::OnSaveCurrentOutfit usa el tipo a 0 saltos y los campos (int32 de id de conjunto, string de nombre, enumerado lwj de categoria) son los de guardar el conjunto actual; su acuse ya resuelto es lyu AppearanceSaveResultMessage y la lista donde acaba es lyt OutfitsListMessage
lxw		ninguna	El expediente no lista clases ni vecinos; una estructura con tres strings y un bool mas un int32 no apunta a ningun concepto concreto
lyf		ninguna	No lo toca ninguna clase y solo consta que se maneja junto a 25 mensajes h*/i* sin identificar, lo que no distingue nada; la forma (int32, bool, int32) es generica
lyj		ninguna	La unica clase que lo toca es eqq, que toca a 76 mensajes y por tanto no distingue nada; la forma (lista de string, submensaje lyh con lista de int32 y un bool) encaja con demasiadas cosas.
lyk	AppearanceStateRequestMessage	posible	Mensaje vacio cuya unica clase es Core.UILogic.Inventory.Uis.PlayerInventory.CosmeticUi y que sale de su metodo OnEnable a 0 saltos: es lo que se envia al abrir el panel de aspecto, y su respuesta natural es lxo AppearanceStateMessage (el estado de la ventana); el nombre exacto del Request podria ser otro del mismo dominio.
lys		ninguna	Solo dos int32 y una lista de 25 mensajes hermanos que abarca hechizos, inventario, interactivos y mapa (un frame grande que no acota nada); ninguna clase citada.
lyt		ninguna	La unica clase es eqq (76 mensajes, no distingue); la forma (repeated lzc de 17 campos mas un lzc suelto) solo dice que es un listado con un elemento destacado, sin indicio de a que dominio pertenece.
lyu		ninguna	Dos bool sueltos y como unica clase eqq (76 mensajes): no hay por donde cogerlo.
lyv		ninguna	Un solo bool y como unica clase eqq (76 mensajes): no hay por donde cogerlo.
lyy		ninguna	El expediente no trae ni clases del cliente ni mensajes vecinos; un string y un enumerado lyw no bastan para nombrarlo.
lze		ninguna	Sin clases ni contexto en el expediente: int32, bool, int32 encaja en decenas de mensajes distintos.
mgz	ReloginTokenRequestMessage	probable	La unica clase que lo toca, dys, toca solo a 2 mensajes y conserva el nombre sin ofuscar WaitForReloginToken, o sea el par peticion/respuesta del token de reconexion; el mensaje lleva un unico int64 (id de servidor destino, con ids opacos) y no lleva ni bool de validez ni string de ticket, asi que es la peticion y no el estado del token.
